GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-boot,com.itxiop.transport,Application,5,3,0,0,2,1,1,1,1,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-boot,com.itxiop.transport.config,UseCaseProviderFactory,0,29,0,0,0,6,0,6,0,6
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-domain,com.itxiop.transport.domain.route.vo,RouteResult,0,9,0,0,0,1,0,1,0,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-domain,com.itxiop.transport.domain.vo,ShipmentStatusEnum,0,21,0,0,0,4,0,1,0,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-domain,com.itxiop.transport.domain.vo,TransportTypeEnum,0,27,0,0,0,5,0,1,0,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-domain,com.itxiop.transport.domain.exceptions,CoreRuntimeException,9,0,0,0,4,0,2,0,2,0
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-domain,com.itxiop.transport.domain.exceptions,ResourceNotFoundException,9,0,0,0,4,0,2,0,2,0
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-domain,com.itxiop.transport.domain.exceptions,DomainException,9,0,0,0,4,0,2,0,2,0
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-application,com.itxiop.transport.domain.usecase,LoadShipmentUseCaseImpl,8,4,0,0,3,1,1,1,1,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-application,com.itxiop.transport.domain.usecase,FindShipmentsUseCaseImpl,7,4,0,0,2,1,1,1,1,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-application,com.itxiop.transport.domain.usecase,PurgeShipmentUseCaseImpl,7,4,0,0,3,1,1,1,1,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-application,com.itxiop.transport.domain.usecase,FindShipmentUseCaseImpl,9,4,0,0,2,1,1,1,1,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-application,com.itxiop.transport.domain.usecase,GraphProcessor.CityStop,0,12,0,0,0,1,0,1,0,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-application,com.itxiop.transport.domain.usecase,GraphProcessor,8,276,1,17,3,50,2,11,1,3
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-application,com.itxiop.transport.domain.usecase,ProcessPendingShipmentsUseCaseImpl,3,210,4,6,1,40,4,10,0,9
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.apirest.mapper,RestShipmentMapperImpl,0,3,0,0,0,1,0,1,0,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.route,RouteRepositoryFileAdapter,15,141,1,3,4,28,1,10,0,9
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.apirest.converters,MarshallingCSVConverter,171,0,14,0,28,0,14,0,7,0
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.shipment,ShipmentH2RepositoryAdapter,72,23,0,0,18,5,6,2,6,2
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.shipment,ShipmentEntityMapperImpl,147,43,12,2,40,12,11,3,4,3
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.apirest.controller,ShipmentsApiController,42,0,0,0,14,0,5,0,5,0
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.city,CityRepositoryH2Adapter,13,0,0,0,4,0,3,0,3,0
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.city,CityRepositoryManagerAutoConfiguration,6,11,0,0,1,3,1,3,1,3
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.city,CityRepositoryFileAdapter.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.city,CityRepositoryFileAdapter,0,52,0,0,0,10,0,6,0,6
com.itxiop.transport:jacoco-report-aggregate/hiring-challenge-infrastructure,com.itxiop.transport.infrastructure.repository.city,CityEntityMapperImpl,51,3,6,0,14,1,5,1,2,1
